,theme,start_time,end_time,affected_sectors,severity_ratio,answer_ratio,sources,location,df_index
169,Dana,2023-09-06,2023-09-13,['Transporte'],{'Transporte': 0.4375},"{6: 0.5, 7: 0.5, 8: 0.75}",['https://cronicaglobal.elespanol.com/vida/20230915/las-intensas-empiezan-en-cataluna-carreteras-tarragona/794670711_0.html'],Tarragona,168
170,Inundacion,2023-09-20,2023-09-27,['Transporte'],{'Transporte': 0.5625},"{5: 0.25, 6: 0.5, 7: 0.75, 8: 0.75}","['https://www.diaridetarragona.com/costa/graves-inundaciones-en-torredembarra-tras-caer-mas-de-100-litros-por-metro-cuadrado-FG16986883', 'https://elpais.com/espana/catalunya/2023-09-21/mas-de-700000-catalanes-viven-en-zonas-inundables-fluviales.html']",Tarragona,169
171,Luvias Intensas,2023-09-20,2023-09-27,['Aguas Residuales'],{'Aguas Residuales': 0.5},"{18: 0.5, 19: 0.75}","['https://www.elperiodico.com/es/tiempo/20230920/tiempo-ultima-hora-dana-lluvias-barcelona-catalunya-tarragona-alerta-directo-89148735', 'https://www.elnacional.cat/es/sociedad/desactivan-el-plan-plano-inuncat-despues-de-lluvias-intensas-en-el-campo-de-tarragona-y-al-penedes_1096560_102.html']",Tarragona,169
172,Dana,2023-09-20,2023-09-27,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.1875, 'Agua y Alimentos': 0.4166666666666667}","{7: 0.0, 8: 0.75, 14: 0.75, 15: 0.5, 16: 0.0}",['https://www.larazon.es/el-tiempo/dana-pone-riesgo-fuertes-lluvias-tormentas-varias-comunidades_20230920650a8ea798383a00012868bd.html'],Tarragona,169
173,Luvias Intensas,2023-10-20,2023-10-26,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.53125, 'Agua y Alimentos': 0.75}","{5: 0.625, 6: 0.375, 7: 0.75, 8: 0.375, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.antena3.com/noticias/el-tiempo/la-prevision/mercedes-martin-llega-frio-domingo-lluvias-fuertes_202310206532b24c32dc75000164d45b.html', 'https://www.larazon.es/el-tiempo/temporal-espana-directo-alertas-ultima-hora-zonas-afectadas-borrasca-aline_20231020653216c4a1cbe00001722a03.html']",Tarragona,170
174,Inundacion,2023-06-03,2023-06-06,['Transporte'],{'Transporte': 0.3125},"{7: 0.5, 8: 0.75}","['https://www.elperiodicodearagon.com/teruel/2023/06/03/fuerte-tormenta-teruel-provoca-multiples-avisos-inundaciones-ciudad-88269927.html', 'https://www.diariodeteruel.es/teruel/una-fuerte-tromba-de-agua-sobre-teruel-obliga-a-realizar-una-quincena-de-salidas-a-los-bomberos', 'https://www.aragondigital.es/articulo/teruel/una-tromba-de-agua-en-teruel-deja-una-quincena-de-avisos-por-inundaciones/20230604100000810145.html', 'https://www.heraldo.es/noticias/aragon/teruel/2023/06/04/la-tormenta-de-teruel-deja-una-treintena-de-ascensores-estropeados-y-decenas-de-bajos-inundados-1656499.html']",Teruel,172
175,Desbordamientos,2023-07-07,2023-07-09,"['Transporte', 'Aguas Residuales', 'Energia']","{'Energia': 0.4453125, 'Transporte': 0.4375, 'Aguas Residuales': 0.6764705882352942}","{0: 0.75, 1: 0.5, 2: 0.25, 4: 0.25, 5: 0.5, 7: 0.5, 8: 0.75, 17: 0.5, 18: 0.75, 19: 0.75}",['https://elpais.com/espana/2023-07-07/los-estragos-de-la-tormenta-de-zaragoza-cientos-de-vecinos-sin-luz-carreteras-cortadas-y-colegios-destrozados.html'],Teruel,174
176,Tempestad,2023-07-06,2023-07-07,"['Transporte', 'Sanidad', 'Aguas Residuales', 'Energia']","{'Energia': 0.6328125, 'Transporte': 0.40625, 'Aguas Residuales': 0.6029411764705882, 'Sanidad': 0.5833333333333334}","{0: 0.5, 1: 0.75, 2: 0.5, 3: 0.75, 4: 0.75, 5: 0.25, 7: 0.75, 8: 0.75, 17: 0.75, 18: 0.75, 19: 0.5, 10: 0.5, 11: 0.75, 12: 0.5, 13: 0.5}","['https://cadenaser.com/aragon/2023/07/06/graves-danos-en-el-bajo-aragon-por-las-tormentas-radio-zaragoza/', 'https://www.elmundo.es/espana/2023/07/08/64a93a97e4d4d8d7478b4571.html']",Teruel,175
177,Desbordamientos,2023-06-02,2023-06-11,"['Transporte', 'Aguas Residuales']","{'Aguas Residuales': 0.5882352941176471, 'Transporte': 0.6875}","{17: 0.5, 18: 0.625, 19: 0.625, 5: 0.75, 6: 0.5, 7: 0.75, 8: 0.75}","['https://www.eldiario.es/castilla-la-mancha/provincias/toledo/inundaciones-localidad-toledana-consuegra-abre-oficina-damnificados_1_10270192.html', 'https://www.cmmedia.es/noticias/castilla-la-mancha/fuertes-tormentas-dejan-trombas-agua-e-inundaciones-pueblos-castilla-mancha.html', 'https://www.eloccidental.com.mx/local/lemus-y-frangie-confian-que-trabajos-en-canal-de-patria-eviten-inundaciones-10179130.html']",Toledo,176
178,Crecida,2023-06-02,2023-06-11,['Aguas Residuales'],{'Aguas Residuales': 0.75},"{17: 0.75, 18: 0.75, 19: 0.75}",['https://www.eldiario.es/castilla-la-mancha/provincias/toledo/inundaciones-localidad-toledana-consuegra-abre-oficina-damnificados_1_10270192.html'],Toledo,176
179,Desbordamientos,2023-06-05,2023-06-07,"['Transporte', 'Aguas Residuales']","{'Aguas Residuales': 0.5882352941176471, 'Transporte': 0.6875}","{17: 0.5, 18: 0.625, 19: 0.625, 5: 0.75, 6: 0.5, 7: 0.75, 8: 0.75}","['https://www.eldiario.es/castilla-la-mancha/provincias/toledo/inundaciones-localidad-toledana-consuegra-abre-oficina-damnificados_1_10270192.html', 'https://www.cmmedia.es/noticias/castilla-la-mancha/fuertes-tormentas-dejan-trombas-agua-e-inundaciones-pueblos-castilla-mancha.html', 'https://www.eloccidental.com.mx/local/lemus-y-frangie-confian-que-trabajos-en-canal-de-patria-eviten-inundaciones-10179130.html']",Toledo,177
180,Crecida,2023-06-05,2023-06-07,['Aguas Residuales'],{'Aguas Residuales': 0.75},"{17: 0.75, 18: 0.75, 19: 0.75}",['https://www.eldiario.es/castilla-la-mancha/provincias/toledo/inundaciones-localidad-toledana-consuegra-abre-oficina-damnificados_1_10270192.html'],Toledo,177
181,Crecida,2023-06-21,2023-06-22,['Transporte'],{'Transporte': 0.0625},{8: 0.25},['https://www.elespanol.com/eldigitalcastillalamancha/region/toledo/20230621/tromba-granizo-provoca-incidentes-toledo-inundaciones-arboles/773173064_0.html'],Toledo,178
182,Inundacion,2023-09-15,2023-09-30,['Transporte'],{'Transporte': 0.5625},"{5: 0.5, 6: 0.5, 7: 0.5, 8: 0.75}","['https://www.elespanol.com/eldigitalcastillalamancha/region/toledo/20230928/catedra-tajo-alerta-inundaciones-iran-toledo-propone-soluciones/797920245_0.html', 'https://cadenaser.com/castillalamancha/2023/09/28/que-se-puede-hacer-para-evitar-danos-en-la-proxima-dana-ser-toledo/']",Toledo,179
183,Luvias Intensas,2023-09-15,2023-09-30,"['Agua y Alimentos', 'Aguas Residuales']","{'Agua y Alimentos': 0.8333333333333334, 'Aguas Residuales': 0.5735294117647058}","{14: 1.0, 15: 0.75, 16: 0.75, 17: 0.75, 18: 0.5, 19: 0.5}",['https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/'],Toledo,179
184,Desbordamientos,2023-09-15,2023-09-30,['Transporte'],{'Transporte': 0.375},"{5: 0.5, 6: 0.5, 7: 0.5, 8: 0.75}","['https://cadenaser.com/castillalamancha/2023/09/28/que-se-puede-hacer-para-evitar-danos-en-la-proxima-dana-ser-toledo/', 'https://www.cmmedia.es/noticias/castilla-la-mancha/plazos-ayuda-dana-toledo.html']",Toledo,179
185,Dana,2023-09-15,2023-09-30,"['Agua y Alimentos', 'Transporte', 'Aguas Residuales']","{'Transporte': 0.25, 'Agua y Alimentos': 0.8333333333333334, 'Aguas Residuales': 0.5735294117647058}","{8: 1.0, 14: 1.0, 15: 0.75, 16: 0.75, 17: 0.75, 18: 0.5, 19: 0.5}","['https://www.castillalamancha.es/actualidad/notasdeprensa/el-gobierno-regional-valora-la-r%C3%A1pida-respuesta-la-solicitud-de-ayudas-para-municipios-afectados-por', 'https://efe.com/castilla-la-mancha/2023-09-21/danos-dana-300-millones/', 'https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/']",Toledo,179
186,Inundacion,2023-10-23,2023-10-28,['Aguas Residuales'],{'Aguas Residuales': 0.6985294117647058},"{17: 0.625, 18: 0.625, 19: 0.75}","['https://www.latribunadetoledo.es/noticia/z0f008e0a-d654-f3a8-14a152e99f91a255/202310/toledo-pide-a-la-cht-solucion-en-azucaica-amianto-y-azudes', 'https://www.encastillalamancha.es/castilla-la-mancha-cat/toledo/video-la-lluvia-deja-mas-inundaciones-en-toledo-azucaica-el-barrio-mas-castigado/', 'https://cadenaser.com/castillalamancha/2023/10/23/la-borrasca-bernard-deja-calles-inundadas-en-varios-barrios-de-toledo-los-vecinos-de-azucaica-piden-soluciones-ser-toledo/']",Toledo,180
187,Luvias Intensas,2023-10-23,2023-10-28,['Transporte'],{'Transporte': 0.59375},"{5: 0.5, 6: 0.5, 7: 0.625, 8: 0.75}","['https://www.elespanol.com/eldigitalcastillalamancha/region/20231023/toda-castilla-la-mancha-alerta-lunes-viento-lluvias-intensas-toledo/804169589_0.html', 'https://www.elconfidencial.com/espana/2023-10-31/aemet-alerta-nueva-borrasca-ciaran-vientos-lluvias_3764475/', 'https://elpais.com/espana/2023-10-30/la-borrasca-ciaran-dejara-vientos-muy-fuertes-mala-mar-lluvias-y-nieve-en-las-montanas-a-partir-del-miercoles.html']",Toledo,180
188,Desbordamientos,2023-10-23,2023-10-28,"['Transporte', 'Aguas Residuales']","{'Aguas Residuales': 0.6985294117647058, 'Transporte': 0.4375}","{17: 0.625, 18: 0.625, 19: 0.75, 5: 0.5, 6: 0.0, 7: 0.25, 8: 1.0}","['https://www.encastillalamancha.es/castilla-la-mancha-cat/toledo/video-la-lluvia-deja-mas-inundaciones-en-toledo-azucaica-el-barrio-mas-castigado/', 'https://www.encastillalamancha.es/castilla-la-mancha-cat/toledo/toledo-miedo-desesperacion-vecinos-azucaica-inundaciones-estamos-hartos/', 'https://www.latribunadetoledo.es/noticia/z08556fe1-97fa-170a-a2ddb89fa427ce8e/202310/un-aliviadero-de-la-a-5-trae-en-jaque-a-un-vecino-de-otero']",Toledo,180
189,Dana,2023-10-23,2023-10-28,"['Transporte', 'Aguas Residuales']","{'Transporte': 0.4375, 'Aguas Residuales': 0.75}","{5: 0.25, 7: 0.75, 8: 0.75, 17: 0.75, 18: 0.75, 19: 0.75}","['https://ahoraclm.com/la-dana-de-septiembre-provoco-en-toledo-danos-por-valor-de-47-millones-de-euros', 'https://www.latribunadetoledo.es/noticia/z0f008e0a-d654-f3a8-14a152e99f91a255/202310/toledo-pide-a-la-cht-solucion-en-azucaica-amianto-y-azudes']",Toledo,180
190,Inundacion,2023-12-01,2023-12-04,"['Agua y Alimentos', 'Transporte', 'Aguas Residuales', 'Energia']","{'Energia': 0.0, 'Transporte': 0.34375, 'Aguas Residuales': 0.6029411764705882, 'Agua y Alimentos': 0.75}","{8: 0.75, 17: 0.25, 18: 0.75, 19: 0.75, 6: 0.75, 7: 0.5, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.castillalamancha.es/actualidad/notasdeprensa/el-gobierno-regional-entrega-equipos-electr%C3%B3genos-y-bombas-para-inundaciones-29-entidades-locales', 'https://www.elespanol.com/eldigitalcastillalamancha/region/toledo/20231205/preocupacion-constantes-inundaciones-pueblo-toledo-va-costar-caro/814918925_0.html', 'https://www.latribunadetoledo.es/noticia/z7621e165-f1d0-ff29-8170ae805b830d8e/202312/el-desbordamiento-de-3-arroyos-inunda-fincas-en-n-502-y-cm4101', 'https://www.elespanol.com/eldigitalcastillalamancha/region/toledo/20231201/madrugada-pesadilla-pareja-atrapada-agua-cerca-talavera-reina/813918774_0.html']",Toledo,181
191,Desbordamientos,2023-12-01,2023-12-04,"['Agua y Alimentos', 'Transporte', 'Aguas Residuales']","{'Transporte': 0.34375, 'Aguas Residuales': 0.6029411764705882, 'Agua y Alimentos': 0.75}","{8: 0.75, 17: 0.25, 18: 0.75, 19: 0.75, 6: 0.75, 7: 0.5, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.elespanol.com/eldigitalcastillalamancha/region/toledo/20231205/preocupacion-constantes-inundaciones-pueblo-toledo-va-costar-caro/814918925_0.html', 'https://www.abc.es/espana/castilla-la-mancha/toledo/pueblos/policias-rescatan-dos-estudiantes-coche-riada-dejan-20231201163514-nt.html', 'https://www.latribunadetoledo.es/noticia/z7621e165-f1d0-ff29-8170ae805b830d8e/202312/el-desbordamiento-de-3-arroyos-inunda-fincas-en-n-502-y-cm4101']",Toledo,181
192,Crecida,2023-12-01,2023-12-04,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.5, 'Agua y Alimentos': 0.75}","{6: 0.75, 7: 0.5, 8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75}",['https://www.latribunadetoledo.es/noticia/z7621e165-f1d0-ff29-8170ae805b830d8e/202312/el-desbordamiento-de-3-arroyos-inunda-fincas-en-n-502-y-cm4101'],Toledo,181
193,Inundacion,2023-05-26,2023-05-30,['Transporte'],{'Transporte': 0.375},"{5: 0.0, 6: 0.5, 7: 0.25, 8: 0.75}",['https://efectococuyo.com/la-humanidad/municipios-de-carabobo-afectados-por-fuertes-lluvias-de-este-30-de-mayo/'],Valencia,182
194,Luvias Intensas,2023-05-26,2023-05-30,['Transporte'],{'Transporte': 0.4375},"{5: 0.0, 6: 0.25, 7: 0.75, 8: 0.75}",['https://efeverde.com/inundaciones-y-rescates-por-las-fuertes-lluvias-que-persisten-en-el-centro-y-este-peninsular/'],Valencia,182
195,Desbordamientos,2023-05-26,2023-05-30,"['Agua y Alimentos', 'Transporte', 'Aguas Residuales']","{'Transporte': 0.4375, 'Agua y Alimentos': 0.75, 'Aguas Residuales': 0.5882352941176471}","{5: 0.5, 6: 0.75, 7: 0.625, 8: 0.5, 14: 0.75, 15: 0.75, 16: 0.75, 17: 0.25, 18: 0.625, 19: 0.75}","['https://www.antena3.com/noticias/el-tiempo/actualidad/dana-continua-azotando-espana-deja-paisaje-catastrofico-valencia_20230527647232016cbd630001c945b3.html', 'https://primicia.com.ve/nacion/varias-familias-afectadas-por-desbordamiento-de-cano-en-valencia-video/', 'https://www.eluniversal.com/venezuela/156409/afectadas-familias-tras-el-desbordamiento-de-cano-en-valencia']",Valencia,182
196,Crecida,2023-05-26,2023-05-30,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.46875, 'Agua y Alimentos': 0.6666666666666666}","{6: 0.75, 7: 0.75, 8: 0.75, 14: 0.75, 15: 0.5, 16: 0.75}","['https://www.miteco.gob.es/es/agua/temas/gestion-de-los-riesgos-de-inundacion/planes-gestion-riesgos-inundacion/objetivos_planes_gestion_ri.html', 'https://www.larazon.es/sociedad/inundaciones-rescates-debido-precipitaciones-torrenciales_2023052664710c6eea31940001bda3a0.html', 'https://www.elconfidencial.com/espana/2023-05-26/dana-lluvias-comunidades-alerta_3637260/']",Valencia,182
197,Inundacion,2023-08-27,2023-08-29,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.8125, 'Agua y Alimentos': 1.0}","{5: 0.75, 6: 0.75, 7: 0.75, 8: 1.0, 14: 1.0, 15: 1.0, 16: 1.0}",['https://www.publico.es/sociedad/dana-causa-inundaciones-pais-valencia-y-pamplona.html'],Valencia,185
198,Crecida,2023-08-27,2023-08-29,"['Transporte', 'Sanidad']","{'Transporte': 0.6875, 'Sanidad': 0.8333333333333334}","{5: 1.0, 7: 0.75, 8: 1.0, 10: 1.0, 11: 1.0, 12: 1.0}",['https://www.antena3.com/noticias/sociedad/ultima-hora-temporal-dana-alerta-roja-madrid-inundaciones-valencia-confinamiento-tarragona_2023090364f45fc5714dff0001d13beb.html'],Valencia,185
199,Inundacion,2023-09-09,2023-09-20,"['Aguas Residuales', 'Transporte', 'Agua y Alimentos']","{'Transporte': 0.5625, 'Aguas Residuales': 0.5441176470588235, 'Agua y Alimentos': 0.7777777777777778}","{5: 0.5, 6: 0.75, 7: 0.6666666666666666, 8: 0.75, 17: 0.75, 18: 0.25, 19: 0.5, 14: 0.6666666666666666, 15: 0.75, 16: 0.9166666666666666}","['https://valenciaplaza.com/lluvias-valencia', 'https://www.antena3.com/noticias/el-tiempo/actualidad/diluvio-comunidad-valenciana-dejan-inundaciones-numerosas-incidencias-sur-provincia-valencia_202309146502eac31fb4a6000131da13.html', 'https://www.levante-emv.com/comunitat-valenciana/camp-de-turia/2023/09/17/gran-tromba-agua-acompanada-granizo-92210102.html', 'https://www.20minutos.es/noticia/5172858/0/buscan-persona-arrastrada-agua-bicicleta-barranco/', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/requena-utiel/2023/09/17/tormenta-barre-comarca-requena-utiel-92207029.html', 'https://www.20minutos.es/noticia/5174176/0/granizadas-tormentas-electricas-trombas-agua-inundaciones-los-efectos-dana-comunidad-valenciana/', 'https://www.lasprovincias.es/ribera-costera/albalat-ribera-algemesi-suspenden-clases-tras-tromba-20230914092555-nt.html']",Valencia,186
200,Luvias Intensas,2023-09-09,2023-09-20,"['Agua y Alimentos', 'Transporte']","{'Agua y Alimentos': 0.6666666666666666, 'Transporte': 0.59375}","{14: 0.6666666666666666, 15: 0.6666666666666666, 16: 0.6666666666666666, 6: 0.875, 7: 0.5, 8: 0.75, 5: 0.5}","['https://www.lasprovincias.es/comunitat/el-tiempo/aemet-reactiva-doble-alerta-lluvias-intensas-valencia-dana-bfa-20230913174327-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-deja-lluvia-torrencial-granizo-92291214.html', 'https://www.valenciaextra.com/es/el-tiempo/cuando-volvera-llover-en-valencia-prevision-meteorologica_525393_102.html', 'https://www.informacion.es/alicante/2023/09/18/dana-adelanta-comunidad-valenciana-92250684.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-anuncia-lluvias-intensas-llegada-dana-valencia-20230915180008-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/13/semana-dana-92001859.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/primeras-alertas-dana-aemet-preve-horas-fuerte-lluvias-valencia-20230918182217-nt.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-activa-alerta-amarilla-valencia-preve-lluvias-20230911180016-nt.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html', 'https://www.lasprovincias.es/comunitat/directo-temporal-lluvias-azota-comunitat-valenciana-20230915164442-di.html']",Valencia,186
201,Desbordamientos,2023-09-09,2023-09-20,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.5, 'Agua y Alimentos': 0.5833333333333334}","{5: 0.5, 6: 0.5, 7: 0.75, 8: 0.25, 14: 0.75, 15: 0.75, 16: 0.25}",['https://www.rtve.es/noticias/20230915/intensas-lluvias-alerta-espana-tormentas/2456035.shtml'],Valencia,186
202,Crecida,2023-09-09,2023-09-20,"['Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': 0.46875, 'Agua y Alimentos': 0.6388888888888888, 'Sanidad': 0.75}","{6: 0.375, 7: 0.625, 8: 0.625, 14: 0.5, 15: 0.6666666666666666, 16: 0.75, 10: 0.75, 11: 0.75, 12: 0.75, 13: 0.75, 5: 0.5}","['https://www.rtve.es/noticias/20230917/intensas-lluvias-provocan-incidencias-castellon-valencia-alerta-naranja/2456177.shtml', 'https://www.lasprovincias.es/comunitat/lluvia-afecta-comunitat-primera-hora-ceba-aeropuerto-20230915092823-nt.html', 'https://www.elimpulso.com/tag/el-lago-de-valencia/', 'https://noticiasdeaqui.co/2023/09/13/denuncian-que-crecida-del-lago-de-valencia-afecta-a-familias-de-maracay/', 'https://elpais.com/espana/2023-09-17/la-alerta-naranja-deja-fuertes-tormentas-en-castellon-valencia-y-huesca.html', 'https://www.elperiodicoextremadura.com/extremadura/2023/09/16/trombas-agua-valencia-de-alcantara-extremadura-92164982.html']",Valencia,186
203,Dana,2023-09-09,2023-09-20,"['Aguas Residuales', 'Transporte', 'Agua y Alimentos']","{'Transporte': 0.59375, 'Agua y Alimentos': 0.75, 'Aguas Residuales': 0.3235294117647059}","{5: 0.4166666666666667, 6: 0.625, 7: 0.75, 8: 0.6875, 14: 0.75, 15: 0.75, 16: 0.75, 17: 0.5, 18: 0.25, 19: 0.25}","['https://www.lasprovincias.es/comunitat/el-tiempo/primeras-alertas-dana-aemet-preve-horas-fuerte-lluvias-valencia-20230918182217-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-descarga-fuerza-mitad-norte-92306156.html', 'https://elpais.com/espana/2023-09-18/una-dana-dejara-fuertes-lluvias-en-el-este-baleares-y-martes-y-miercoles-y-un-frente-barrera-el-pais-el-jueves.html', 'https://www.elmundo.es/espana/2023/09/20/650a8a5c21efa0aa138b45b5.html', 'https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/', 'https://www.valenciaextra.com/es/el-tiempo/nueva-dana-llega-valencia-proxima-semana_525470_102.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/13/semana-dana-92001859.html', 'https://www.larazon.es/el-tiempo/dana-dejara-lluvias-torrenciales-fuertes-tormentas-granizo-todas-estas-zonas-espana_2024082866cecd3b1dd4400001785755.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-deja-lluvia-torrencial-granizo-92291214.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-actualiza-prevision-dana-anuncia-varios-cambios-valencia-20230919175100-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/16/nueva-dana-miercoles-jueves-92138736.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/municipios-valencianos-lloviendo-dana-20230919172358-nt.html']",Valencia,186
204,Inundacion,2023-09-19,2023-09-27,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.6875, 'Agua y Alimentos': 0.75}","{5: 0.5, 6: 0.75, 7: 0.75, 8: 0.75, 14: 0.5, 15: 0.75, 16: 1.0}","['https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html', 'https://www.20minutos.es/noticia/5174176/0/granizadas-tormentas-electricas-trombas-agua-inundaciones-los-efectos-dana-comunidad-valenciana/']",Valencia,187
205,Luvias Intensas,2023-09-19,2023-09-27,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.625, 'Agua y Alimentos': 0.75}","{6: 1.0, 7: 0.75, 8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-deja-lluvia-torrencial-granizo-92291214.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html']",Valencia,187
206,Dana,2023-09-19,2023-09-27,"['Aguas Residuales', 'Transporte', 'Agua y Alimentos']","{'Transporte': 0.6041666666666666, 'Agua y Alimentos': 0.75, 'Aguas Residuales': 0.3235294117647059}","{5: 0.375, 6: 0.6666666666666666, 7: 0.75, 8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75, 17: 0.5, 18: 0.25, 19: 0.25}","['https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-descarga-fuerza-mitad-norte-92306156.html', 'https://www.elmundo.es/espana/2023/09/20/650a8a5c21efa0aa138b45b5.html', 'https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html', 'https://www.larazon.es/el-tiempo/dana-dejara-lluvias-torrenciales-fuertes-tormentas-granizo-todas-estas-zonas-espana_2024082866cecd3b1dd4400001785755.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-deja-lluvia-torrencial-granizo-92291214.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-actualiza-prevision-dana-anuncia-varios-cambios-valencia-20230919175100-nt.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/municipios-valencianos-lloviendo-dana-20230919172358-nt.html']",Valencia,187
207,Tempestad,2023-08-26,2023-08-27,"['Energia', 'Transporte', 'Infraestructura digital', 'Agua y Alimentos']","{'Transporte': 0.5, 'Agua y Alimentos': 0.6666666666666666, 'Energia': 0.46875, 'Infraestructura digital': 0.7045454545454546}","{5: 0.5, 6: 0.375, 7: 0.5, 8: 0.625, 14: 0.75, 15: 0.5, 16: 0.75, 0: 0.75, 1: 0.75, 20: 0.75, 21: 0.75, 22: 0.75, 23: 0.75, 24: 0.25}","['https://www.levante-emv.com/comunitat-valenciana/2023/08/27/ultimo-semana-agosto-deja-truenos-91380597.html', 'https://www.tiempo.com/ram/avisos-episodio-fuertes-tormentas-intensas-lluvias-granizo.html', 'https://www.noticiascv.com/las-tormentas-obligan-a-30-intervenciones-bomberos-provincia-valencia/', 'https://valenciaplaza.com/leliana-estudia-solicitar-declaracion-zona-catastrofica-tras-tormenta', 'https://www.lasprovincias.es/comunitat/el-tiempo/primeras-tormentas-lluvias-dejan-lm2-apenas-media-20230826185320-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/08/27/lluvias-granizo-valencia-hoy-tiempo-domingo-dv-91391731.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-llegara-comunitat-valenciana-lluvias-fuertes-tormentas-granizo-vendaval-20230831142104-nt.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-lluvias-granizo-valencia-20230826102229-nt.html']",Valencia,189
208,Temporal,2023-08-26,2023-08-27,"['Agua y Alimentos', 'Sanidad', 'Transporte']","{'Agua y Alimentos': 0.75, 'Transporte': 0.375, 'Sanidad': 0.7083333333333334}","{14: 0.75, 15: 0.75, 16: 0.75, 5: 0.5, 6: 0.75, 7: 0.5, 8: 0.75, 10: 0.75, 11: 0.75, 12: 1.0, 13: 0.25}","['https://www.levante-emv.com/comunitat-valenciana/2023/08/31/llega-dana-afectara-valencia-dv-91531539.html', 'https://www.tiempo.com/ram/temporal-otonal-precipitaciones-sequia.html', 'https://efe.com/espana/2023-08-28/diez-comunidades-alerta-viento-lluvia-tormentas/', 'https://www.valenciaextra.com/es/el-tiempo/temporal-betty-emergencias-activa-alerta-naranja-comunitat-valenciana_524881_102.html', 'https://efe.com/cultura/2023-08-27/suspendido-concierto-rauw-alejandro-palma/', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-llegara-comunitat-valenciana-lluvias-fuertes-tormentas-granizo-vendaval-20230831142104-nt.html']",Valencia,189
